funding_amount,num_funding_rounds,industry_sector,location,num_milestones,team_size,years_active,success_probability,success_outcome
11.37,4,FinTech,Bangalore,13,101,9.1,62.81,1
18.4,7,EdTech,Toronto,12,150,3.2,63.14,0
29.39,4,AI/ML,Austin,16,10,4.9,56.75,1
28.4,3,SaaS,London,13,249,1.7,58.08,0
35.35,6,AI/ML,Toronto,11,27,3.1,70.53,1
16.47,5,EdTech,Austin,16,246,3.8,57.99,0
11.9,4,Cybersecurity,Berlin,1,10,4.0,51.62,0
16.78,4,EdTech,San Francisco,13,129,2.3,69.28,1
3.36,5,CleanTech,Toronto,7,105,2.5,59.75,0
4.28,6,SaaS,Berlin,7,144,10.8,71.41,1
4.84,4,SaaS,Singapore,14,109,9.5,68.53,0
6.7,1,AI/ML,Toronto,4,224,4.3,57.53,0
27.11,1,EdTech,Austin,15,6,11.4,67.89,1
7.35,2,HealthTech,Seattle,8,246,3.1,55.66,1
12.45,4,SaaS,Toronto,6,172,5.1,58.59,1
66.63,5,CleanTech,New York,5,195,9.8,66.58,1
12.73,6,HealthTech,Toronto,7,36,5.5,65.33,0
38.0,2,SaaS,Austin,16,18,3.0,48.43,0
7.14,6,E-commerce,London,1,100,4.6,57.95,0
14.8,5,E-commerce,London,9,82,6.2,60.67,0
7.03,1,SaaS,Berlin,15,196,7.6,66.09,0
12.95,3,FinTech,Toronto,8,224,5.0,59.82,0
42.11,3,FinTech,Boston,10,108,5.3,65.29,1
3.23,7,SaaS,New York,6,192,3.4,60.18,0
28.06,7,CleanTech,Seattle,2,16,6.6,65.43,0
23.05,6,FinTech,Berlin,11,186,2.9,60.97,0
10.03,4,Cybersecurity,Singapore,16,26,10.5,67.76,1
4.28,4,E-commerce,Singapore,9,167,9.0,74.2,1
19.53,3,FinTech,Boston,7,96,5.1,65.75,0
10.7,6,EdTech,Bangalore,2,104,9.0,65.53,0
22.94,1,HealthTech,San Francisco,17,70,0.4,67.7,1
18.58,2,Cybersecurity,New York,15,102,4.3,56.86,0
90.18,1,AI/ML,San Francisco,16,218,5.5,69.85,1
14.31,4,EdTech,Bangalore,6,202,5.8,54.35,0
6.53,3,EdTech,New York,11,86,9.1,64.56,1
21.74,2,AI/ML,Berlin,7,74,11.6,62.76,1
22.65,3,FinTech,Toronto,4,128,4.7,60.57,1
70.75,7,EdTech,Singapore,3,171,4.4,65.51,1
41.89,4,HealthTech,Bangalore,6,47,7.4,62.92,1
25.97,6,AI/ML,San Francisco,9,182,3.6,73.75,1
78.52,7,E-commerce,Seattle,2,237,2.0,59.61,1
5.54,7,SaaS,London,12,211,11.6,78.91,1
9.59,3,HealthTech,Berlin,8,137,9.8,70.54,0
7.2,7,EdTech,Berlin,15,81,11.5,69.22,1
12.31,7,CleanTech,London,5,82,2.8,60.52,1
4.59,7,HealthTech,Boston,0,185,0.5,57.9,1
34.3,3,HealthTech,New York,5,114,5.4,65.28,0
14.55,2,FinTech,Seattle,17,28,11.2,73.66,0
4.18,5,CleanTech,Austin,5,170,1.9,57.03,0
6.58,7,FinTech,London,12,36,1.7,63.22,0
24.87,7,AI/ML,Singapore,15,246,1.1,64.24,1
42.02,4,Cybersecurity,London,5,105,9.3,70.4,0
133.85,2,E-commerce,London,11,86,9.5,63.87,1
334.91,3,SaaS,San Francisco,3,15,8.4,63.16,0
27.51,5,HealthTech,Berlin,6,43,0.9,56.58,0
6.76,4,FinTech,Seattle,5,237,8.8,71.19,0
2.16,3,HealthTech,New York,12,135,5.5,61.11,1
23.75,3,Cybersecurity,Austin,15,225,2.1,56.37,1
8.06,1,HealthTech,Singapore,4,239,3.8,56.54,1
12.0,3,FinTech,Bangalore,5,14,6.2,44.3,0
9.85,5,CleanTech,London,14,96,4.2,61.61,0
15.79,2,SaaS,Bangalore,8,209,11.6,63.04,0
52.77,7,EdTech,New York,9,124,5.9,74.43,1
21.26,1,E-commerce,Austin,12,128,4.7,52.92,0
15.51,5,AI/ML,Bangalore,2,143,8.2,65.1,1
6.45,4,Cybersecurity,New York,15,176,7.9,69.61,1
3.41,6,SaaS,Berlin,6,234,0.3,56.43,1
11.18,7,E-commerce,Austin,11,221,7.5,69.3,1
17.22,4,Cybersecurity,Boston,7,157,3.2,61.63,0
106.48,5,SaaS,Seattle,13,145,4.7,65.73,0
20.7,5,EdTech,Boston,11,91,8.6,66.81,0
48.56,4,Cybersecurity,Toronto,3,30,6.8,56.91,1
11.03,2,HealthTech,Bangalore,3,177,4.6,50.83,0
5.56,4,FinTech,London,15,2,2.3,55.81,1
6.92,2,AI/ML,London,9,175,6.2,64.8,1
8.8,4,Cybersecurity,San Francisco,4,125,4.0,56.03,0
152.7,5,FinTech,Austin,2,197,11.0,75.47,1
7.99,2,CleanTech,San Francisco,2,237,6.6,63.39,0
42.03,2,CleanTech,Toronto,16,139,10.4,70.73,1
7.37,6,Cybersecurity,Austin,17,144,4.9,69.5,0
46.14,3,SaaS,Boston,7,122,10.0,70.75,1
26.71,2,EdTech,Toronto,3,94,1.0,57.39,1
15.54,5,AI/ML,Singapore,7,24,3.8,60.62,0
17.45,6,HealthTech,Berlin,2,9,1.2,49.69,1
9.44,6,CleanTech,San Francisco,9,181,0.7,55.95,0
28.39,6,E-commerce,London,11,228,11.1,80.22,0
11.53,7,SaaS,London,17,15,8.7,78.21,1
5.34,5,AI/ML,Boston,5,83,7.6,64.42,0
5.06,3,E-commerce,Singapore,3,152,6.5,54.71,0
21.6,7,AI/ML,Bangalore,2,176,7.0,68.72,1
88.15,2,CleanTech,Austin,6,184,7.8,67.78,1
21.33,3,Cybersecurity,Boston,10,174,10.0,64.46,1
16.14,6,Cybersecurity,Boston,1,22,7.3,55.71,0
24.19,7,AI/ML,Toronto,13,64,9.1,81.37,0
67.09,3,E-commerce,San Francisco,8,118,3.6,60.87,0
22.63,6,EdTech,Toronto,14,17,11.7,72.96,1
12.05,7,FinTech,Singapore,8,87,0.7,62.18,1
54.94,6,SaaS,Seattle,2,97,4.8,66.51,1
27.9,1,CleanTech,London,0,244,10.6,53.69,1
84.42,5,HealthTech,Toronto,10,80,2.4,58.26,1
21.83,2,AI/ML,Singapore,9,242,2.0,58.28,1
5.34,6,HealthTech,Austin,14,175,4.6,58.39,1
4.63,1,SaaS,San Francisco,15,173,5.3,59.46,1
94.72,7,HealthTech,Berlin,2,205,11.2,74.13,0
101.87,2,E-commerce,New York,5,210,10.1,64.63,1
15.19,3,CleanTech,San Francisco,3,57,5.7,57.26,1
12.39,2,CleanTech,Bangalore,1,106,11.7,57.66,0
78.37,6,E-commerce,Seattle,0,133,7.8,56.6,0
6.01,3,HealthTech,Berlin,1,244,10.5,65.86,0
7.43,6,AI/ML,Austin,9,12,3.2,60.84,0
34.58,1,FinTech,New York,2,120,6.0,52.1,0
12.25,4,EdTech,San Francisco,3,55,0.6,53.34,0
18.08,7,AI/ML,Boston,2,53,0.4,59.11,0
15.43,7,E-commerce,San Francisco,13,190,8.6,72.8,1
25.47,2,FinTech,Seattle,11,52,1.7,45.68,1
74.25,3,CleanTech,Boston,17,198,6.7,68.77,1
19.9,3,SaaS,London,2,248,8.4,59.61,1
34.6,4,Cybersecurity,London,3,194,0.7,57.32,1
2.34,4,AI/ML,Boston,8,44,5.6,59.69,1
17.31,1,AI/ML,Seattle,11,37,8.3,61.12,1
7.82,6,E-commerce,San Francisco,2,110,10.7,74.85,1
5.37,2,CleanTech,Boston,3,138,3.8,56.06,1
7.55,3,HealthTech,Bangalore,7,195,11.7,73.67,1
13.01,6,AI/ML,Bangalore,0,106,10.2,69.9,1
45.42,5,FinTech,Seattle,7,43,7.9,70.5,1
4.82,3,SaaS,Bangalore,13,247,4.9,53.34,0
18.74,7,CleanTech,London,9,226,8.6,72.92,1
11.2,3,CleanTech,New York,7,164,9.8,66.79,1
13.1,4,EdTech,Toronto,8,174,3.8,64.01,1
49.54,2,SaaS,Seattle,17,233,11.9,70.11,1
31.13,2,AI/ML,Berlin,9,119,10.9,69.79,1
69.23,4,SaaS,Berlin,9,38,6.0,63.86,1
15.57,4,HealthTech,Boston,16,152,8.8,74.82,1
9.06,6,EdTech,Singapore,2,113,6.4,62.88,0
14.53,3,SaaS,London,1,200,9.2,67.71,1
23.16,7,AI/ML,Boston,8,193,10.0,71.25,1
21.68,5,Cybersecurity,Austin,5,118,0.6,50.74,1
6.14,1,AI/ML,Singapore,3,93,1.2,39.45,1
19.9,6,SaaS,Austin,2,106,4.2,65.85,1
22.83,5,E-commerce,New York,15,158,11.0,75.67,0
225.31,3,CleanTech,Toronto,11,159,5.0,65.63,1
118.73,4,SaaS,Boston,12,128,10.7,70.19,1
7.74,3,SaaS,Berlin,2,133,5.7,55.48,1
13.63,5,HealthTech,Singapore,6,247,3.7,63.42,0
4.21,4,CleanTech,Toronto,11,64,10.8,73.29,0
10.07,4,CleanTech,Berlin,9,45,6.9,69.16,0
24.92,2,HealthTech,Singapore,12,200,4.5,64.05,1
60.69,3,EdTech,Toronto,12,233,0.8,56.27,0
8.77,4,EdTech,Bangalore,7,152,1.6,60.37,1
9.45,4,Cybersecurity,San Francisco,14,101,1.9,60.71,1
2.12,3,FinTech,Singapore,4,88,4.6,56.31,0
15.45,5,HealthTech,New York,1,118,7.4,65.59,0
6.28,2,EdTech,Toronto,16,15,3.9,47.48,0
10.7,4,AI/ML,San Francisco,0,133,1.1,54.64,1
7.56,1,HealthTech,Austin,5,68,3.4,47.29,0
16.54,4,AI/ML,New York,2,67,5.1,66.53,1
3.13,6,E-commerce,Berlin,4,140,11.9,72.81,1
4.19,6,CleanTech,San Francisco,7,240,4.9,73.11,0
152.82,5,FinTech,San Francisco,2,53,1.3,53.02,1
5.02,6,HealthTech,London,8,228,7.1,77.57,1
6.07,1,FinTech,Bangalore,16,130,11.1,60.0,1
114.08,3,Cybersecurity,London,2,243,9.5,62.9,1
331.98,5,E-commerce,Seattle,16,96,10.1,70.34,1
5.63,6,AI/ML,Berlin,7,249,11.2,79.67,1
12.58,5,CleanTech,London,10,165,7.7,69.89,1
25.57,6,AI/ML,Boston,7,168,11.9,76.49,1
102.38,2,HealthTech,London,5,141,0.7,50.83,0
6.77,2,AI/ML,San Francisco,1,114,10.1,59.73,1
14.22,1,E-commerce,Austin,10,132,10.3,67.02,1
39.54,5,FinTech,Berlin,16,212,11.0,78.06,0
28.07,5,AI/ML,Boston,9,198,5.9,74.28,1
12.48,2,SaaS,San Francisco,10,7,9.5,64.88,0
15.9,6,FinTech,New York,11,174,2.6,55.83,0
4.6,6,EdTech,Toronto,6,208,7.4,61.69,0
14.32,3,SaaS,Boston,2,186,4.5,60.16,1
13.92,2,EdTech,San Francisco,9,125,7.3,61.04,0
22.92,6,EdTech,Singapore,15,85,8.2,67.85,1
10.43,5,E-commerce,London,5,168,4.4,56.83,0
29.12,2,SaaS,Seattle,15,166,2.8,62.65,0
50.03,2,SaaS,Toronto,15,94,4.1,60.4,1
21.23,4,CleanTech,Boston,4,102,8.1,66.92,0
25.84,4,FinTech,London,10,93,8.2,66.86,1
19.17,2,EdTech,Singapore,13,13,9.0,60.85,1
18.18,7,FinTech,Berlin,8,9,1.8,54.93,0
8.83,3,Cybersecurity,Austin,12,22,9.9,65.28,0
24.94,3,HealthTech,Berlin,16,107,8.4,56.58,0
16.49,1,CleanTech,Singapore,11,128,0.7,43.01,1
147.4,7,HealthTech,New York,15,103,4.2,70.46,1
87.65,2,EdTech,New York,14,238,5.8,72.16,0
26.73,7,AI/ML,Berlin,14,57,4.5,62.15,0
8.47,4,CleanTech,New York,15,99,1.7,53.7,0
5.98,7,HealthTech,Toronto,4,63,2.7,63.15,1
59.81,2,HealthTech,New York,0,76,0.6,56.31,1
23.64,2,Cybersecurity,Bangalore,2,146,1.4,51.26,0
29.37,6,EdTech,Berlin,4,78,3.4,63.15,1
3.18,6,HealthTech,Seattle,12,80,9.9,72.17,1
45.94,4,E-commerce,Austin,9,168,6.5,61.73,0
28.63,1,FinTech,Boston,8,207,5.3,60.3,0
5.99,7,CleanTech,Singapore,0,54,8.0,61.57,0
11.34,3,Cybersecurity,Singapore,12,29,6.6,64.84,0
23.66,7,CleanTech,Austin,6,61,1.8,54.65,0
19.15,7,EdTech,London,13,145,2.9,69.69,1
13.57,6,FinTech,Bangalore,2,240,2.9,62.27,0
16.39,5,SaaS,Austin,5,41,7.3,64.18,0
14.13,5,EdTech,Berlin,0,12,5.7,46.18,1
21.17,4,Cybersecurity,New York,5,133,4.8,59.35,1
79.16,1,E-commerce,Toronto,16,247,6.8,65.0,1
1.4,3,Cybersecurity,New York,8,139,11.7,69.67,1
14.34,6,CleanTech,Austin,7,231,4.0,66.07,0
21.68,6,E-commerce,Seattle,4,161,6.4,62.39,1
24.43,4,FinTech,Boston,4,9,5.9,60.05,0
12.53,5,FinTech,New York,12,108,8.7,67.12,0
3.14,1,FinTech,Berlin,17,192,8.8,64.73,1
25.23,4,AI/ML,San Francisco,13,128,8.8,74.21,1
102.24,4,HealthTech,Bangalore,13,50,2.7,61.42,1
3.92,7,Cybersecurity,San Francisco,8,46,5.6,66.02,1
43.11,3,HealthTech,Boston,1,166,9.8,64.38,1
13.09,2,Cybersecurity,Bangalore,13,116,4.8,61.12,1
17.09,3,E-commerce,New York,14,144,11.8,69.68,0
6.34,2,FinTech,San Francisco,9,94,4.6,59.68,1
13.01,4,FinTech,Singapore,1,86,6.1,68.6,1
66.69,5,SaaS,San Francisco,12,167,5.9,66.52,1
32.55,6,EdTech,Toronto,16,3,5.4,65.6,0
102.75,7,EdTech,Seattle,4,109,10.2,69.11,1
58.99,1,AI/ML,Toronto,2,93,2.1,53.8,1
28.19,2,HealthTech,Austin,13,195,6.9,67.17,0
103.95,3,HealthTech,New York,5,182,7.5,64.91,1
28.19,2,E-commerce,Bangalore,12,107,10.3,58.74,1
41.6,6,Cybersecurity,Singapore,12,67,7.4,62.76,1
13.51,1,EdTech,Bangalore,4,60,11.5,57.54,0
19.42,1,Cybersecurity,Boston,0,54,10.5,60.7,0
9.05,7,EdTech,Seattle,10,69,4.4,61.32,1
48.89,7,EdTech,London,7,190,10.4,75.44,0
5.59,2,FinTech,Seattle,15,13,11.5,60.75,0
39.74,3,SaaS,Austin,6,8,3.3,52.56,0
15.02,4,SaaS,Boston,4,135,7.4,60.26,0
58.63,4,E-commerce,Berlin,15,57,3.6,58.56,0
38.51,7,HealthTech,San Francisco,13,208,7.9,74.95,1
112.24,3,HealthTech,Boston,11,188,1.4,54.18,1
37.74,1,SaaS,Austin,17,192,8.9,62.46,0
3.77,3,FinTech,San Francisco,14,115,5.2,60.9,1
17.0,4,HealthTech,New York,15,110,7.2,63.67,1
5.63,4,E-commerce,Seattle,14,107,0.6,59.86,0
10.82,4,Cybersecurity,New York,7,50,8.4,65.75,0
82.37,7,AI/ML,Boston,1,142,6.1,60.64,0
34.38,6,HealthTech,London,10,216,7.6,70.77,0
9.03,2,Cybersecurity,Toronto,13,65,4.0,60.65,1
6.59,3,AI/ML,San Francisco,17,16,2.0,55.25,0
18.78,5,E-commerce,Seattle,12,142,5.4,70.72,0
5.38,3,HealthTech,New York,10,101,11.3,67.44,1
9.29,3,AI/ML,Seattle,10,199,3.0,63.54,1
24.83,2,FinTech,Seattle,2,214,8.2,67.62,0
57.7,2,E-commerce,Singapore,0,237,0.9,48.05,1
33.41,6,HealthTech,Seattle,0,99,8.7,61.92,1
1.84,6,Cybersecurity,Bangalore,16,225,3.1,60.98,1
24.64,6,FinTech,New York,14,31,5.6,73.46,1
19.53,3,E-commerce,San Francisco,4,94,4.6,54.65,1
27.49,1,HealthTech,San Francisco,7,67,1.6,58.04,0
91.49,2,E-commerce,Boston,8,230,4.3,55.97,0
2.31,3,SaaS,New York,4,150,4.4,59.54,0
10.06,4,Cybersecurity,San Francisco,7,92,6.4,60.54,1
32.82,7,E-commerce,Austin,6,39,11.7,70.65,1
3.74,7,EdTech,Bangalore,12,196,5.8,64.13,1
79.52,1,FinTech,Toronto,13,164,11.0,68.92,0
26.27,5,AI/ML,San Francisco,1,213,5.7,67.44,0
42.38,3,SaaS,Bangalore,8,110,1.6,57.23,1
10.27,2,FinTech,Austin,17,39,3.0,54.38,0
41.01,4,AI/ML,Seattle,15,84,5.1,62.93,1
52.9,1,HealthTech,Boston,14,155,4.1,59.79,1
22.94,3,HealthTech,Seattle,13,61,10.4,65.52,0
22.97,4,FinTech,Singapore,0,19,8.2,64.45,1
23.82,2,EdTech,Singapore,17,206,7.1,62.16,0
7.66,5,HealthTech,London,13,133,6.0,67.04,1
15.68,4,FinTech,Berlin,15,100,4.9,66.24,0
15.6,6,SaaS,Singapore,16,139,7.5,71.15,1
26.67,2,HealthTech,New York,4,185,1.8,48.13,0
49.39,1,HealthTech,Boston,0,2,2.2,37.35,0
6.31,4,SaaS,New York,11,111,3.8,66.77,0
16.04,2,FinTech,Singapore,8,65,2.3,55.17,0
79.95,5,Cybersecurity,Seattle,0,24,8.2,55.79,0
8.64,1,SaaS,Berlin,4,10,0.6,44.84,0
7.99,5,Cybersecurity,London,17,111,2.2,60.97,1
22.25,7,Cybersecurity,Austin,6,136,10.9,72.67,1
42.28,1,Cybersecurity,New York,4,127,12.0,62.74,0
18.38,3,AI/ML,Bangalore,11,196,6.0,68.59,1
68.65,6,SaaS,Austin,11,115,6.1,61.47,1
42.81,4,E-commerce,New York,5,148,9.3,64.12,1
42.17,2,FinTech,Boston,15,204,0.7,57.61,0
31.63,2,CleanTech,Bangalore,10,165,5.3,65.28,1
186.35,6,EdTech,Austin,2,227,1.5,61.94,1
14.8,7,FinTech,Bangalore,5,56,5.0,62.95,1
2.45,3,HealthTech,Seattle,15,197,11.8,77.35,1
90.4,4,HealthTech,Toronto,1,174,9.1,60.5,1
11.5,6,FinTech,Berlin,0,146,11.8,71.83,1
20.24,2,E-commerce,San Francisco,11,2,9.0,61.15,1
67.33,2,FinTech,London,7,136,7.4,61.23,0
3.66,6,CleanTech,Seattle,4,214,9.1,72.86,0
5.2,2,SaaS,Austin,8,161,8.0,60.5,1
3.66,6,E-commerce,London,3,3,5.7,60.58,1
8.21,4,EdTech,New York,6,73,3.7,50.21,1
28.21,7,HealthTech,Berlin,4,143,6.4,70.86,0
30.7,1,HealthTech,Toronto,10,203,3.3,54.03,0
23.96,7,E-commerce,San Francisco,12,112,6.0,74.75,1
4.42,2,E-commerce,Seattle,16,214,2.0,54.17,1
1.8,1,EdTech,Berlin,1,199,6.9,57.93,1
19.19,6,EdTech,San Francisco,5,68,3.2,64.82,0
11.34,4,Cybersecurity,Boston,4,50,3.7,57.97,0
28.77,6,CleanTech,Austin,10,225,6.1,71.83,0
36.67,1,SaaS,San Francisco,9,148,2.2,59.51,0
20.87,1,HealthTech,Toronto,15,212,11.6,70.11,1
38.87,4,EdTech,Seattle,16,230,5.5,55.56,1
22.86,7,AI/ML,Singapore,13,107,4.4,66.57,0
30.88,3,AI/ML,London,3,13,0.6,57.79,0
8.98,6,HealthTech,Toronto,0,227,10.2,63.65,0
15.19,7,FinTech,Bangalore,16,146,7.6,76.47,0
22.13,7,SaaS,Berlin,16,31,5.2,70.61,1
41.29,4,CleanTech,Boston,4,133,3.2,55.63,0
12.26,5,HealthTech,Seattle,0,8,9.0,52.8,0
30.61,4,SaaS,Toronto,12,73,11.4,68.82,1
13.93,5,HealthTech,Seattle,10,88,4.8,73.51,1
16.16,4,HealthTech,London,15,114,1.9,57.57,1
41.66,4,AI/ML,New York,10,142,1.6,59.13,1
2.48,4,EdTech,Bangalore,13,210,0.4,49.61,0
4.97,5,EdTech,Berlin,14,89,9.0,72.44,0
4.13,6,Cybersecurity,Boston,0,184,11.8,69.96,1
1.76,7,HealthTech,London,2,235,11.9,73.46,1
9.22,5,HealthTech,Seattle,14,187,9.5,77.88,1
38.45,1,Cybersecurity,New York,3,65,2.2,54.24,0
13.67,5,AI/ML,Toronto,3,170,11.7,69.41,1
22.15,3,FinTech,Toronto,13,71,4.1,54.94,1
54.01,1,SaaS,Toronto,3,120,4.2,58.32,1
68.56,1,AI/ML,Boston,2,159,8.3,62.27,0
16.96,5,EdTech,Austin,0,74,0.9,43.13,0
70.36,7,AI/ML,San Francisco,8,2,10.0,67.09,1
19.93,4,E-commerce,Singapore,11,209,12.0,67.08,0
7.87,4,EdTech,Boston,13,182,9.4,63.58,1
10.03,1,CleanTech,Toronto,16,32,9.4,51.36,0
4.13,5,SaaS,Toronto,11,95,4.9,58.65,1
7.48,1,Cybersecurity,New York,13,66,1.1,48.25,0
12.7,6,FinTech,Bangalore,3,244,9.6,69.92,1
40.59,6,EdTech,New York,6,235,7.3,76.02,1
101.57,7,E-commerce,Seattle,5,173,10.9,73.86,0
4.56,2,Cybersecurity,Seattle,1,111,1.7,49.16,1
26.92,2,HealthTech,Bangalore,17,14,3.9,57.6,0
6.42,3,Cybersecurity,Berlin,4,63,4.5,55.64,1
29.22,6,HealthTech,Toronto,8,24,8.3,70.32,0
15.94,2,SaaS,London,6,197,9.5,67.13,1
2.91,7,EdTech,Toronto,0,23,11.5,66.32,1
45.98,2,SaaS,Toronto,16,170,3.8,70.38,0
9.92,1,Cybersecurity,Toronto,3,238,6.1,60.53,1
10.66,2,E-commerce,Seattle,1,78,0.6,40.42,0
6.24,6,CleanTech,Boston,6,171,3.3,64.67,1
9.45,5,EdTech,Bangalore,2,220,4.7,55.7,1
27.88,3,Cybersecurity,Singapore,17,108,7.2,67.87,0
15.04,5,SaaS,Bangalore,3,113,5.8,56.64,1
25.25,5,E-commerce,London,5,51,4.6,55.65,0
26.1,4,E-commerce,Bangalore,4,108,7.6,63.08,1
68.08,4,E-commerce,Singapore,0,218,10.0,67.6,1
12.9,1,AI/ML,Singapore,0,166,3.1,52.33,0
4.15,2,SaaS,New York,9,51,4.3,60.77,0
52.84,4,E-commerce,London,4,132,8.5,67.0,1
13.05,1,Cybersecurity,Singapore,1,177,9.4,60.66,1
55.4,4,SaaS,Singapore,5,21,10.0,64.47,0
26.67,1,AI/ML,Bangalore,4,191,2.7,57.23,0
15.94,6,HealthTech,Boston,7,51,6.6,72.01,1
25.76,1,EdTech,Boston,17,75,10.8,64.45,1
127.87,1,CleanTech,Bangalore,5,105,4.9,53.93,0
145.04,5,E-commerce,Bangalore,12,127,5.3,70.49,1
19.48,2,HealthTech,New York,13,229,11.8,71.91,1
21.33,3,AI/ML,Boston,0,57,1.6,51.4,0
53.32,3,CleanTech,Bangalore,9,65,8.6,65.85,1
7.8,2,FinTech,New York,8,95,10.2,67.18,1
